SEP_A,SEP_C,SEP_D,SEP_E,SEP_F,SEP_G,SEP_H,SEP_I,SEP_K,SEP_L,SEP_M,SEP_N,SEP_P,SEP_Q,SEP_R,SEP_S,SEP_T,SEP_V,SEP_W,SEP_Y
-0.272,0,0,-0.272,-0.272,-0.272,0,-0.476,-0.401,0,0,-0.272,0,-0.272,0,-0.272,-0.272,0,0,-0.272
-0.209,0,-0.209,-0.323,0,-0.323,0,-0.209,-0.323,-0.401,0,-0.456,-0.209,0,-0.323,0,0,-0.209,0,-0.209
-0.216,0,-0.216,-0.216,-0.216,-0.411,-0.216,-0.332,0,-0.216,0,0,-0.332,-0.216,-0.411,0,0,-0.411,0,0
0,0,0,-0.209,-0.209,-0.323,-0.209,0,-0.209,-0.209,-0.209,-0.209,-0.323,0,-0.401,-0.209,0,-0.401,-0.209,-0.323
-0.42,0,-0.342,-0.342,-0.342,-0.224,0,0,-0.342,-0.224,0,0,0,0,0,-0.342,-0.224,-0.342,0,-0.224
-0.332,0,-0.216,-0.216,0,-0.216,0,0,-0.216,-0.332,0,-0.216,0,-0.216,-0.332,-0.216,-0.216,-0.5,0,-0.216
0,0,-0.25,-0.25,-0.375,-0.375,0,-0.25,0,-0.25,0,-0.25,0,0,-0.453,-0.25,-0.25,-0.375,0,0
-0.216,-0.332,0,-0.216,-0.216,-0.411,0,-0.216,-0.332,-0.216,-0.216,-0.216,-0.216,0,-0.216,0,-0.216,-0.332,-0.216,0
0,-0.216,-0.216,-0.216,-0.216,-0.332,0,-0.216,-0.216,-0.464,-0.216,0,-0.332,0,0,-0.332,-0.216,-0.332,0,0
-0.332,-0.216,0,0,0,-0.332,-0.216,-0.411,-0.216,0,-0.216,-0.216,-0.216,0,-0.216,-0.216,-0.332,-0.411,0,0
-0.332,0,0,-0.216,-0.216,-0.332,-0.216,-0.216,0,0,-0.332,-0.411,-0.332,0,-0.216,-0.332,0,-0.216,-0.216,0
0,0,0,0,0,-0.509,-0.26,0,0,-0.26,-0.26,-0.26,-0.26,0,0,-0.26,-0.26,-0.509,0,0
-0.285,0,0,0,0,-0.285,0,0,0,-0.285,0,0,-0.285,0,-0.488,-0.488,0,-0.488,0,0
-0.26,0,0,-0.26,-0.26,-0.388,-0.26,-0.388,0,-0.509,0,0,0,-0.26,0,0,-0.26,-0.26,0,0
0,-0.272,-0.272,-0.272,0,0,0,-0.272,-0.272,-0.476,-0.272,0,-0.401,0,0,-0.272,0,-0.401,0,0
-0.26,0,-0.388,-0.26,-0.26,-0.26,-0.26,0,0,-0.388,0,-0.26,-0.26,-0.26,0,0,-0.26,0,0,-0.388
-0.26,0,0,0,-0.26,-0.26,0,-0.26,0,-0.509,0,0,-0.388,0,0,0,-0.26,-0.509,0,0
-0.26,-0.26,0,0,0,-0.26,0,-0.388,0,-0.464,0,-0.26,-0.388,0,0,0,0,-0.464,0,-0.26
-0.476,0,-0.272,0,0,-0.401,0,0,0,-0.401,-0.272,0,0,-0.401,-0.401,0,0,0,0,-0.272
0,0,-0.272,0,-0.272,0,0,-0.272,-0.401,-0.272,0,-0.516,0,-0.272,-0.272,-0.272,-0.272,0,0,0
0,0,-0.332,0,-0.216,0,0,0,-0.216,0,0,-0.216,-0.332,-0.216,0,-0.411,-0.411,-0.411,-0.332,-0.216
0,0,-0.216,-0.216,-0.332,0,0,-0.216,0,-0.332,0,0,-0.216,-0.411,-0.216,-0.332,-0.5,-0.216,0,0
0,0,-0.464,-0.292,0,-0.186,-0.186,-0.292,-0.186,-0.292,0,-0.186,-0.186,-0.186,-0.186,-0.186,-0.186,-0.464,0,0
-0.24,0,-0.24,-0.442,0,-0.442,0,-0.24,-0.363,-0.363,0,0,0,0,-0.363,0,-0.24,0,0,-0.24
0,0,0,0,-0.299,-0.299,0,0,0,-0.5,0,0,-0.299,0,0,-0.299,0,-0.5,-0.299,-0.299
-0.216,0,-0.216,0,-0.216,-0.216,0,-0.216,-0.332,0,-0.216,-0.411,0,0,0,-0.216,-0.332,-0.332,0,-0.464
-0.26,-0.26,-0.26,0,0,-0.26,0,-0.26,-0.26,-0.26,0,-0.464,0,0,0,-0.388,0,-0.388,-0.26,0
0,-0.26,0,-0.26,-0.388,-0.26,0,-0.388,0,-0.26,0,-0.388,-0.388,0,-0.26,0,-0.26,-0.26,0,0
-0.314,0,-0.314,-0.314,-0.314,-0.314,0,0,0,-0.447,0,-0.511,0,-0.314,0,0,0,0,0,0
-0.209,-0.323,-0.209,0,-0.209,-0.209,-0.209,-0.323,0,-0.323,0,-0.323,-0.323,0,0,-0.209,-0.209,-0.209,-0.209,-0.323
-0.314,-0.314,-0.314,0,0,0,0,-0.511,0,-0.447,0,-0.314,0,0,0,-0.447,0,0,0,0
-0.232,0,-0.232,-0.232,0,-0.232,-0.232,-0.352,-0.513,0,0,-0.232,0,-0.232,0,-0.352,-0.232,-0.232,0,0
-0.26,0,-0.26,0,0,-0.26,0,-0.26,-0.26,-0.464,-0.388,-0.26,-0.26,0,0,-0.26,-0.26,0,0,-0.26
0,0,-0.26,0,-0.388,-0.26,-0.26,-0.26,0,-0.509,0,-0.26,0,-0.26,-0.388,-0.26,0,0,0,0
-0.388,0,0,-0.26,-0.26,-0.26,0,-0.26,-0.26,0,0,-0.26,0,-0.26,-0.26,-0.26,0,-0.388,0,-0.388
0,0,-0.26,0,0,0,0,0,-0.388,-0.509,-0.388,0,-0.26,-0.26,0,-0.26,0,-0.388,0,-0.26
-0.26,-0.26,0,-0.26,-0.26,-0.388,-0.388,0,0,-0.388,0,0,0,0,0,-0.388,-0.26,-0.388,0,0
-0.464,0,0,0,0,-0.464,-0.26,0,-0.26,-0.26,0,-0.26,0,0,-0.388,0,0,-0.26,-0.26,-0.26
-0.26,0,0,0,-0.26,-0.26,0,-0.509,-0.388,-0.26,0,-0.26,0,0,-0.26,-0.388,0,-0.26,0,0
-0.26,0,0,-0.26,-0.26,0,0,-0.26,0,-0.388,0,-0.26,0,-0.26,-0.26,-0.26,-0.26,-0.388,0,-0.388
-0.26,0,-0.26,-0.26,-0.388,0,0,-0.388,-0.26,-0.388,0,0,-0.26,-0.26,-0.26,0,0,-0.26,0,-0.26
-0.388,-0.26,0,0,-0.26,0,-0.26,-0.26,-0.26,-0.388,-0.26,0,0,0,-0.26,0,-0.388,-0.26,0,-0.26
-0.453,0,0,-0.375,0,-0.25,0,0,-0.375,-0.375,0,0,-0.375,0,0,-0.453,-0.25,0,0,0
-0.25,0,-0.25,-0.375,0,-0.375,0,-0.25,-0.25,-0.375,0,0,-0.25,0,0,-0.375,-0.453,0,0,0
0,0,-0.531,0,-0.272,-0.401,0,0,0,0,0,0,0,0,-0.401,0,-0.476,0,0,-0.272
0,0,-0.272,-0.272,0,0,0,0,-0.476,0,0,-0.272,0,-0.272,0,-0.272,-0.401,-0.401,-0.272,-0.272
-0.26,-0.26,-0.26,0,0,-0.26,0,-0.26,-0.388,-0.26,0,-0.388,0,0,0,-0.388,0,-0.388,-0.26,0
0,-0.26,-0.26,-0.26,-0.388,0,0,-0.388,0,-0.26,0,-0.388,-0.388,0,-0.26,0,-0.26,-0.26,0,0
-0.352,-0.232,-0.431,-0.232,-0.232,0,0,-0.232,-0.352,-0.232,0,-0.232,0,-0.232,0,0,-0.431,-0.232,0,0
-0.482,0,-0.232,-0.232,-0.232,-0.232,0,-0.431,-0.232,-0.232,-0.232,-0.232,0,-0.232,0,0,-0.232,0,0,-0.232
-0.216,-0.216,0,-0.216,-0.216,-0.332,-0.411,0,-0.332,-0.216,-0.216,0,-0.216,0,-0.411,-0.216,0,-0.216,-0.216,0
-0.447,-0.203,0,0,0,0,-0.203,-0.314,-0.314,-0.314,-0.314,-0.314,0,-0.203,0,0,-0.314,-0.203,-0.203,-0.203
0,-0.26,0,-0.26,-0.26,-0.26,0,-0.464,-0.464,-0.26,0,0,0,-0.26,0,-0.388,0,-0.26,0,0
-0.25,-0.25,-0.375,-0.25,0,0,0,-0.25,-0.375,-0.25,0,0,0,-0.453,0,0,-0.375,-0.375,0,0
0,-0.24,0,0,0,-0.24,0,-0.24,-0.24,-0.363,-0.24,-0.24,-0.24,-0.24,-0.442,-0.24,-0.24,0,-0.24,-0.24
0,-0.332,-0.216,-0.216,0,0,0,0,-0.216,-0.464,0,-0.216,0,0,-0.411,-0.411,-0.216,-0.216,-0.216,-0.216
-0.363,0,0,0,-0.24,-0.24,0,0,-0.24,-0.24,-0.363,0,0,-0.24,-0.363,-0.363,-0.24,-0.442,0,0
-0.216,-0.216,0,0,0,-0.332,-0.332,0,0,0,-0.216,-0.216,-0.216,-0.332,-0.332,-0.216,-0.332,-0.216,-0.216,-0.332
-0.216,-0.216,0,-0.216,0,-0.464,-0.216,0,0,-0.216,-0.216,0,-0.216,0,-0.464,-0.216,0,-0.332,-0.216,-0.216
-0.232,0,0,-0.352,0,-0.232,0,0,0,-0.232,0,-0.232,-0.431,-0.232,0,0,-0.431,-0.352,-0.232,-0.352
-0.216,-0.216,-0.332,-0.411,0,-0.216,0,0,0,-0.332,0,0,0,0,-0.464,-0.216,-0.411,0,-0.216,-0.216
-0.482,0,0,-0.352,0,-0.352,0,-0.352,0,0,-0.232,0,-0.431,0,0,0,-0.232,-0.352,0,-0.232
-0.411,0,0,0,0,-0.216,0,-0.411,-0.332,0,-0.216,-0.411,0,0,-0.216,0,-0.332,0,-0.216,-0.411
0,-0.216,-0.216,-0.411,-0.216,-0.216,-0.216,0,0,0,-0.216,-0.216,-0.216,-0.332,0,-0.216,-0.216,-0.411,0,-0.332
0,0,0,-0.411,0,0,-0.216,0,-0.216,-0.411,0,0,0,-0.518,-0.332,0,0,-0.216,0,0
0,0,0,0,-0.216,-0.332,0,0,0,0,0,0,-0.521,-0.216,-0.464,-0.521,0,0,0,0
