DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
6.93,0.00,6.36,0.00,0.00,12.07,12.07,7.79,0.00,3.75,0.00,4.15,0.00,6.36,0.00,6.07,10.36,0.00,10.36,0.00,
9.90,9.45,5.06,9.62,0.00,0.00,16.25,7.05,0.00,12.95,6.42,13.25,0.00,0.00,14.19,0.00,0.00,0.00,19.05,11.90,
10.25,4.61,0.00,14.65,0.00,16.25,16.25,6.39,9.05,6.00,11.05,0.00,0.00,14.65,7.05,0.00,0.00,0.00,0.00,6.94,
0.00,4.53,15.62,0.00,0.00,0.00,17.24,11.75,11.05,0.00,11.90,19.05,19.05,9.62,9.65,9.52,0.00,12.95,7.05,7.05,
4.59,0.00,0.00,11.39,0.00,0.00,8.72,12.32,0.00,0.00,9.47,10.28,0.00,6.94,0.00,8.17,8.53,0.00,15.26,7.17,
6.42,7.68,10.25,16.25,0.00,14.65,9.65,9.25,0.00,0.00,13.68,18.05,0.00,0.00,0.00,11.05,10.25,0.00,13.25,4.94,
0.00,4.50,7.31,8.56,0.00,0.00,9.56,11.33,0.00,8.56,10.81,0.00,0.00,7.07,0.00,7.81,12.31,0.00,0.00,6.67,
11.05,9.25,9.05,0.00,9.58,0.00,9.05,9.83,0.00,9.25,11.05,10.84,9.65,12.05,12.05,0.00,9.65,18.05,0.00,9.79,
0.00,0.00,0.00,9.25,12.05,0.00,14.65,13.68,0.00,9.65,3.76,13.25,9.05,13.25,9.79,10.21,16.25,0.00,0.00,7.05,
6.42,14.65,10.25,0.00,12.05,0.00,0.00,13.68,12.05,10.28,0.00,16.25,10.25,0.00,9.65,16.25,7.05,0.00,0.00,6.17,
6.42,11.05,8.50,0.00,0.00,0.00,14.65,6.00,18.05,9.65,0.00,0.00,8.32,9.65,7.05,10.21,0.00,13.25,0.00,9.25,
0.00,0.00,13.07,0.00,0.00,0.00,0.00,3.58,9.87,0.00,6.67,0.00,7.73,0.00,13.07,11.33,7.07,0.00,0.00,2.75,
9.38,4.18,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,6.15,0.00,0.00,0.00,6.92,4.55,0.00,0.00,0.00,3.09,
13.07,0.00,0.00,0.00,0.00,11.33,6.53,8.79,9.87,6.93,3.75,0.00,0.00,9.87,0.00,0.00,8.67,0.00,0.00,6.67,
0.00,0.00,0.00,6.07,12.07,0.00,12.07,0.00,0.00,7.79,3.25,10.36,6.07,0.00,6.62,8.93,0.00,0.00,0.00,4.15,
7.07,0.00,7.73,8.79,0.00,6.67,7.07,7.73,6.67,0.00,4.93,0.00,0.00,8.67,11.33,0.00,9.87,0.00,12.07,0.00,
11.33,0.00,0.00,0.00,0.00,0.00,0.00,7.07,0.00,7.73,3.75,0.00,0.00,9.87,4.36,0.00,13.07,0.00,0.00,2.58,
6.67,0.00,13.07,0.00,9.87,0.00,0.00,7.73,0.00,7.79,3.23,0.00,0.00,0.00,6.50,0.00,0.00,0.00,11.33,5.08,
3.75,6.15,0.00,6.07,0.00,4.77,0.00,8.00,0.00,0.00,9.38,0.00,7.79,0.00,0.00,0.00,0.00,0.00,8.93,0.00,
0.00,6.07,2.73,8.93,0.00,10.36,0.00,0.00,0.00,6.07,7.79,6.62,0.00,7.79,0.00,12.07,6.93,0.00,0.00,0.00,
0.00,0.00,10.25,12.11,0.00,9.05,0.00,0.00,0.00,0.00,0.00,14.65,0.00,14.65,10.21,4.17,7.61,7.68,10.25,5.06,
0.00,18.05,0.00,14.65,0.00,10.28,12.05,0.00,0.00,9.05,10.84,0.00,0.00,8.95,12.05,7.68,3.94,0.00,0.00,9.25,
0.00,18.00,19.52,8.19,0.00,15.44,13.54,12.80,15.44,9.04,10.12,11.84,0.00,0.00,12.24,16.64,12.80,0.00,0.00,6.76,
8.59,9.31,0.00,8.00,0.00,0.00,5.20,6.13,0.00,9.41,7.06,7.31,0.00,0.00,0.00,0.00,8.59,0.00,13.29,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.08,0.00,0.00,6.50,0.00,0.00,10.08,5.08,5.42,0.00,7.08,8.42,2.30,
14.65,0.00,7.28,12.05,0.00,0.00,0.00,16.25,0.00,16.25,0.00,6.95,9.05,10.25,0.00,9.25,6.42,0.00,4.59,10.21,
7.73,0.00,4.77,8.67,11.33,0.00,0.00,13.07,0.00,8.67,7.73,11.33,0.00,0.00,0.00,4.93,0.00,7.07,0.00,8.93,
0.00,9.87,4.64,0.00,7.73,0.00,13.07,11.33,0.00,6.36,7.07,0.00,0.00,5.50,4.36,0.00,6.53,0.00,0.00,11.33,
