QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3
0.4084,0.0,0.4084,0.0,0.0,0.4084,0.4084,0.4084,0.0,1.2253,0.0,0.8169,0.0,0.4084,0.0,0.4084,0.4084,0.0,0.4084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026,0.1937,0.1953,0.2026,0.1937,0.1953
0.2964,0.5927,1.1855,0.2964,0.0,0.0,0.5927,0.5927,0.0,0.2964,0.8891,0.5927,0.0,0.0,0.2964,0.0,0.0,0.0,0.2964,0.2964,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2399,0.2348,0.229,0.2399,0.2348,0.229
0.2803,0.841,0.0,0.2803,0.0,0.2803,0.2803,0.841,0.2803,0.5607,0.2803,0.0,0.0,0.2803,0.5607,0.0,0.0,0.0,0.0,0.841,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.233,0.2666,0.2201,0.233,0.2666,0.2201
0.0,0.8189,0.273,0.0,0.0,0.0,0.273,0.5459,0.273,0.0,0.273,0.273,0.273,0.273,0.5459,0.273,0.0,0.273,0.5459,0.8189,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2812,0.2681,0.1778,0.2812,0.2681,0.1778
0.9721,0.0,0.0,0.648,0.0,0.0,0.648,0.324,0.0,0.0,0.324,0.648,0.0,0.648,0.0,0.648,0.324,0.0,0.324,0.648,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1963,0.2263,0.2533,0.1963,0.2263,0.2533
0.7126,0.7126,0.3563,0.3563,0.0,0.3563,0.3563,0.3563,0.0,0.0,0.7126,0.3563,0.0,0.0,0.0,0.3563,0.3563,0.0,0.3563,1.7816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2269,0.1521,0.2647,0.2269,0.1521,0.2647
0.0,0.989,0.3297,0.3297,0.0,0.0,0.3297,0.6593,0.0,0.3297,0.3297,0.0,0.0,0.6593,0.0,0.3297,0.3297,0.0,0.0,0.6593,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618,0.2208,0.1876,0.2618,0.2208,0.1876
0.3293,0.3293,0.3293,0.0,0.6586,0.0,0.3293,0.9879,0.0,0.3293,0.3293,0.6586,0.3293,0.3293,0.3293,0.0,0.3293,0.3293,0.0,0.6586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.2575,0.2102,0.203,0.2575,0.2102
0.0,0.0,0.0,0.4035,0.4035,0.0,0.4035,0.8069,0.0,0.4035,1.6138,0.4035,0.4035,0.4035,0.8069,0.8069,0.4035,0.0,0.0,0.8069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1994,0.1769,0.2202,0.1994,0.1769,0.2202
0.8204,0.4102,0.4102,0.0,0.4102,0.0,0.0,0.8204,0.4102,1.2306,0.0,0.4102,0.4102,0.0,0.4102,0.4102,0.8204,0.0,0.0,1.2306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.1739,0.2217,0.1943,0.1739,0.2217,0.1943
